topic_english;topic_german;group_english;group_german;plot_type;header_english;caption_english;header_german;caption_german
Policy;Politik;Appropriateness of Policy Response;Angemessenheit der Antwort der Politik;stacked_barplot;The government has taken measures to prevent infections and has put in place a large package to limit the economic consequences of the coronavirus outbreak. Do you agree with the following statements?;"During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.
The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.
In the days before respondents started answering the questionnaire there had been press conferences by the prime minister every two to three days, the Vice Minister was assigned ‘corona minister’ and there had been a video address by the king.";Die Regierung hat Ma�nahmen ergriffen, um Infektionen vorzubeugen und ein gro�es Paket zur Begrenzung der wirtschaftlichen Auswirkungen des Ausbruchs des Coronavirus beschlossen. Stimmen Sie folgenden Aussagen zu?;In der Zeit, in der die Befragten diesen Fragebogen ausgef�llt haben (20. bis 31. M�rz), hat die Regierung Hochrisikogruppen geraten, �ffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, sofern m�glich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen f�r �ltere verboten.
Policy;Politik;Trust in Government;Vertrauen in die Regierung;stacked_barplot;What is your general level of trust in the government and its actions?;;Wie hoch ist Ihr allgemeines Vertrauen in die Regierung und ihre Aktionen?;
Curfew;Ausgangssperre;Compliance with Curfew;Einhalten der Ausgangssperre;stacked_barplot;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, would you stay at home?;;Wenn die Regierung morgen beschlie�t, dass jeder, der nicht in kritischen Berufen arbeitet, au�er um grundlegende Einkaufsbed�rfnisse zu erledigen, zu Hause bleiben muss, w�rden Sie zu Hause bleiben?;
Curfew;Ausgangssperre;Expected Compliance of Others;Erwartete Einhaltung der Ma�nahmen von Anderen;distplot;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, how many individuals out of 100 would do so in your opinion?;;Wenn die Regierung morgen beschlie�t, dass jeder, der nicht in kritischen Berufen arbeitet, au�er um grundlegende Einkaufsbed�rfnisse zu erledigen, zu Hause bleiben muss, wie viele von 100 Personen w�rden dies Ihrer Meinung nach tun?;
Curfew;Ausgangssperre;Reasons for Complying with Curfew;Gr�nde f�r das Einhalten der Ausgangssperre;barplot;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you stay home?;;Wenn die Regierung morgen beschlie�t, dass jeder, der nicht in kritischen Berufen arbeitet, au�er um grundlegende Einkaufsbed�rfnisse zu erledigen, zu Hause bleiben muss, aus welchen Gr�nden w�rden Sie zu Hause bleiben?;
Curfew;Ausgangssperre;Reasons for Disobeying a Curfew;Gr�nde f�r die Missachtung der Ausgangssperre;barplot;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you not stay home?;;Wenn die Regierung morgen beschlie�t, dass jeder, der nicht in kritischen Berufen arbeitet, au�er um grundlegende Einkaufsbed�rfnisse zu erledigen, zu Hause bleiben muss, aus welchen Gr�nden w�rden Sie nicht zu Hause bleiben?;
Concerns;Sorgen;Health Concerns;Gesundheitssorgen;stacked_barplot;When you think about the next four weeks, how concerned are you about the following?;;Wenn Sie �ber die n�chsten vier Wochen nachdenken, wie besorgt sind Sie �ber das Folgende?;
Concerns;Sorgen;Economic Concerns;wirtschaftliche Sorgen;stacked_barplot;When you think about the next four weeks, how concerned are you about the following?;The fear of becoming unemployed was only elicited from salaried employees who constitute approximately half of the sample.;Wenn Sie �ber die n�chsten vier Wochen nachdenken, wie besorgt sind Sie �ber das Folgende?;Die Angst, arbeitslos zu werden, wurde nur bei Angestellten hervorgerufen, welche etwa die H�lfte der Stichprobe ausmachen.
Economic Adjustments;wirtschaftliche Anpassungen;Reasons for Working Less Among Employees;Gr�nde f�r weniger Arbeit bei Arbeitnehmern ;barplot;Why are you working less now?;;Warum arbeiten Sie jetzt weniger?;
Economic Adjustments;wirtschaftliche Anpassungen;Reasons for Working Not Or Less Among the Self-Employed;Gr�nde f�r keine oder weniger Arbeit bei Selbstst�ndigen;barplot;Why are you working less or not at the moment?;;Warum arbeiten Sie im Moment weniger oder nicht?;
Economic Adjustments;wirtschaftliche Anpassungen;Childcare Adjustments;Anpassungen in der Kinderbetreuung;barplot;"Starting on March 20th, all schools and kindergartens in the Netherlands were closed.
There is emergency child care provided by the state in case parents work in essential professions (e.g., healthcare worker, positions necessary in meeting operational needs).
Respondents with children under 12 in their household were asked:

How do you deal with closure of school and / or childcare because of the coronavirus?";;Vom 20. M�rz an waren alle Schulen und Kinderg�rten in den Niederlanden geschlossen.;
Economic Adjustments;wirtschaftliche Anpassungen;Consumption Plans;Konsumpl�ne;barplot;Do you intend to do the following things in response to the spread of the coronavirus?;;Beabsichtigen Sie, die folgenden Dinge als Antwort auf die Ausbreitung des Coronavirus zu tun?;
Economic Expectations;wirtschaftliche Erwartungen;Employment Among Employees;Besch�ftigungserwartungen von Arbeitnehmern;stacked_barplot;How likely do you think the following situations will happen in early June?;;F�r wie wahrscheinlich halten Sie das Eintreten folgender Situationen Anfang Juni?;
